time_msec,throughput,current_buffer,current_playing_segment
28797,672,21.501,14
28917,580.8,21.38,14
29030,622.286,21.27,14
29149,590.644,21.15,14
29267,590.644,21.03,14
29379,627.892,20.919,14
29503,468.387,20.799,14
29611,651.364,20.689,14
29723,829.714,20.579,14
29832,537.778,20.47,14
29940,651.364,20.36,14
30043,563.883,20.26,14
30149,553.143,20.15,14
30256,542.804,20.049,14
30376,585.681,19.951,15
30483,547.925,19.841,15
30600,595.692,19.721,15
30704,563.883,19.621,15
30819,509.474,19.501,15
30939,585.681,19.38,15
31045,547.925,19.281,15
31147,920.079,19.18,15
31285,336.696,19.04,15
31406,484,18.921,15
31519,518.571,18.801,15
31637,694.974,18.681,15
31737,464.64,18.581,15
31847,532.844,18.471,15
31955,537.778,18.37,15
32066,528,18.26,15
32181,505.043,18.141,15
32303,576,18.021,15
32428,464.64,17.899,16
32544,505.043,17.79,16
32670,464.64,17.659,16
32787,500.69,17.549,16
32890,451.107,17.439,16
33010,484,17.319,16
33114,495.922,17.22,16
33240,87.1579,19.09,16
33343,455.529,18.99,16
33448,553.143,18.879,16
33556,430.222,18.78,16
33662,442.514,18.669,16
33764,455.529,18.57,16
33865,464.64,18.47,16
33989,566.634,18.34,16
34113,468.387,18.22,16
34226,414.857,18.11,16
34327,460.04,18,17
34437,426.275,17.911,17
34552,505.043,17.791,17
34662,426.275,17.68,17
34786,374.71,17.561,17
34902,400.552,17.44,17
35020,397.128,17.321,17
35128,430.222,17.211,17
35246,393.763,17.101,17
35355,537.778,16.991,17
35478,283.317,16.86,17
35601,380.852,16.74,17
35725,472.195,16.62,17
35825,348.48,16.52,17
35949,374.71,16.39,17
36071,384,16.27,17
36173,345.03,16.171,17
36277,335.077,16.061,17
36410,81.5082,17.941,18
36520,316.8,17.83,18
36631,422.4,17.72,18
36780,392.432,17.571,18
36889,430.222,17.46,18
36999,316.8,17.35,18
37110,316.8,17.239,18
37217,325.682,17.13,18
37330,311.143,17.02,18
37439,322.667,16.911,18
37551,311.143,16.8,18
37658,328.755,16.69,18
37797,334.273,16.55,18
37901,338.33,16.449,18
38036,346.746,16.319,18
38234,71.482,18.119,18
38339,446.769,18.011,18
38461,285.639,17.9,19
38583,288,17.781,19
38706,283.317,17.66,19
38828,285.639,17.53,19
38951,285.639,17.41,19
39088,339.153,17.271,19
39230,247.149,17.13,19
39373,243.692,16.991,19
39480,219.17,16.881,19
39625,240.331,16.741,19
39768,245.408,16.591,19
39910,245.408,16.451,19
40048,254.365,16.321,19
40149,232.32,16.21,19
40271,285.639,16.09,19
40385,203.789,16,20
40498,205.593,15.88,20
40612,203.789,15.77,20
40728,202.017,15.65,20
40839,209.297,15.54,20
40950,209.297,15.43,20
41066,200.276,15.32,20
41233,209.928,15.15,20
41351,198.564,15.029,20
